kh,n_mediators,mean_t
1.0,1,2.9374382043874268
1.0985411419875581,1,2.673944645416562
1.2067926406393286,1,2.4340869387728823
1.3257113655901092,1,2.215744905437916
1.4563484775012439,1,2.016988550314132
1.599858719606058,1,1.8360610023807153
1.7575106248547918,1,1.6713629851484524
1.93069772888325,1,1.5214386801431072
2.120950887920191,1,1.3849628584600961
2.329951810515372,1,1.2607291666421556
2.5595479226995357,1,1.147639463335124
2.8117686979742302,1,1.0446941124651314
3.088843596477481,1,0.950983147135479
3.393221771895328,1,0.8656782261380701
3.72759372031494,1,0.7880253119804177
4.094915062380425,1,0.7173380057069749
4.498432668969445,1,0.6529914795991311
4.941713361323834,1,0.5944169541230772
5.428675439323859,1,0.5410966703055072
5.963623316594643,1,0.49255931309638223
6.551285568595508,1,0.4483758452643925
7.196856730011519,1,0.4081557149995849
7.906043210907698,1,0.37154340370094907
8.685113737513525,1,0.3382152834337424
9.54095476349994,1,0.3078767562786219
10.481131341546858,1,0.2802596502863693
11.513953993264469,1,0.2551198490202231
12.648552168552959,1,0.2322351337325812
13.894954943731374,1,0.2114032191023861
15.264179671752334,1,0.19243996517044454
16.768329368110074,1,0.17517774966740762
18.420699693267153,1,0.15946398634689612
20.235896477251565,1,0.14515977622684442
22.229964825261945,1,0.13213867981695349
24.42053094548651,1,0.12028559947957783
26.826957952797247,1,0.1094957620448777
29.4705170255181,1,0.0996737926872454
32.374575428176435,1,0.09073287187670413
35.564803062231285,1,0.08259396795330198
39.06939937054615,1,0.07518513854098097
42.91934260128776,1,0.06844089462589512
47.14866363457392,1,0.06230162167806206
51.7947467923121,1,0.05671305269945698
56.89866029018296,1,0.05162578854065284
62.505519252739695,1,0.046994861245931906
68.66488450042998,1,0.04277933656713618
75.43120063354615,1,0.03894195213275014
82.86427728546842,1,0.03544878807387552
91.02981779915217,1,0.03226896719565647
100.0,1,0.029374382043874266
1.0,2,6.984464715019158
1.0985411419875581,2,6.357945504328015
1.2067926406393286,2,5.78762620835918
1.3257113655901092,2,5.268465592365341
1.4563484775012439,2,4.795874629541193
1.599858719606058,2,4.365675937147114
1.7575106248547918,2,3.9740668512864463
1.93069772888325,2,3.6175858139425565
2.120950887920191,2,3.2930817751598855
2.329951810515372,2,2.997686339905131
2.5595479226995357,2,2.7287884134057143
2.8117686979742302,2,2.4840111208475975
3.088843596477481,2,2.2611907974182457
3.393221771895328,2,2.058357862981026
3.72759372031494,2,1.8737194123261505
4.094915062380425,2,1.70564336710784
4.498432668969445,2,1.552644049381591
4.941713361323834,2,1.413369049221441
5.428675439323859,2,1.2865872703358872
