kh,n_mediators,mean_t
0.01,1,293.74382043874266
0.012067926406393288,1,243.40869387728821
0.014563484775012436,1,201.69885503141322
0.017575106248547922,1,167.13629851484518
0.021209508879201904,1,138.49628584600967
0.025595479226995357,1,114.76394633351241
0.030888435964774818,1,95.09831471354788
0.0372759372031494,1,78.80253119804178
0.04498432668969444,1,65.29914795991313
0.054286754393238594,1,54.10966703055071
0.0655128556859551,1,44.83758452643922
0.07906043210907697,1,37.154340370094914
0.09540954763499938,1,30.787675627862182
0.1151395399326447,1,25.511984902022313
0.13894954943731375,1,21.140321910238608
0.16768329368110074,1,17.517774966740767
0.20235896477251566,1,14.515977622684442
0.2442053094548651,1,12.028559947957781
0.29470517025518095,1,9.967379268724539
0.35564803062231287,1,8.259396795330197
0.42919342601287763,1,6.844089462589512
0.517947467923121,1,5.671305269945699
0.6250551925273969,1,4.699486124593189
0.7543120063354615,1,3.894195213275015
0.9102981779915218,1,3.2268967195656466
1.0985411419875584,1,2.6739446454165616
1.325711365590108,1,2.2157449054379175
1.5998587196060574,1,1.8360610023807158
1.9306977288832496,1,1.5214386801431077
2.329951810515372,1,1.2607291666421556
2.811768697974228,1,1.044694112465132
3.3932217718953264,1,0.8656782261380706
4.094915062380423,1,0.7173380057069751
4.941713361323833,1,0.5944169541230773
5.963623316594643,1,0.49255931309638223
7.196856730011514,1,0.40815571499958536
8.68511373751352,1,0.33821528343374263
10.481131341546853,1,0.28025965028636934
12.648552168552959,1,0.2322351337325812
15.264179671752318,1,0.19243996517044473
18.420699693267146,1,0.15946398634689615
22.229964825261934,1,0.13213867981695354
26.826957952797247,1,0.1094957620448777
32.374575428176435,1,0.09073287187670413
39.06939937054613,1,0.075185138540981
47.1486636345739,1,0.06230162167806208
56.89866029018293,1,0.05162578854065287
68.66488450042998,1,0.04277933656713618
82.86427728546842,1,0.03544878807387552
100.0,1,0.029374382043874266
0.01,2,698.4464715019158
0.012067926406393288,2,578.7626208359177
0.014563484775012436,2,479.58746295411936
0.017575106248547922,2,397.4066851286445
0.021209508879201904,2,329.30817751598863
0.025595479226995357,2,272.8788413405714
0.030888435964774818,2,226.11907974182455
0.0372759372031494,2,187.371941232615
0.04498432668969444,2,155.26440493815915
0.054286754393238594,2,128.65872703358875
0.0655128556859551,2,106.6121243210669
0.07906043210907697,2,88.34336631733724
0.09540954763499938,2,73.20509202851544
0.1151395399326447,2,60.6608704455914
0.13894954943731375,2,50.266191889813626
0.16768329368110074,2,41.652716628420826
0.20235896477251566,2,34.515222603905045
0.2442053094548651,2,28.600789764196552
0.29470517025518095,2,23.69983773603772
0.35564803062231287,2,19.63869925779637
0.42919342601287763,2,16.273466208239622
0.517947467923121,2,13.484890162752688
0.6250551925273969,2,11.174156776104248
0.7543120063354615,2,9.259384255263983
0.9102981779915218,2,7.672721844208952
1.0985411419875584,2,6.357945504328014
1.325711365590108,2,5.268465592365344
1.5998587196060574,2,4.365675937147115
1.9306977288832496,2,3.617585813942558
2.329951810515372,2,2.997686339905131
2.811768697974228,2,2.4840111208475992
3.3932217718953264,2,2.058357862981027
4.094915062380423,2,1.7056433671078408
4.941713361323833,2,1.413369049221441
5.963623316594643,2,1.1711780480138436
7.196856730011514,2,0.9704882252127289
8.68511373751352,2,0.8041880539630971
10.481131341546853,2,0.6663846189325933
12.648552168552959,2,0.552194798420016
15.264179671752318,2,0.457572228918696
18.420699693267146,2,0.37916392055248654
22.229964825261934,2,0.31419144249306563
26.826957952797247,2,0.260352468114667
32.374575428176435,2,0.21573919109809842
39.06939937054613,2,0.17877072152495507
47.1486636345739,2,0.14813706638967133
56.89866029018293,2,0.12275270945569572
68.66488450042998,2,0.10171814553879313
82.86427728546842,2,0.08428800616890188
100.0,2,0.06984464715019158
0.01,3,1298.9537327915937
0.012067926406393288,3,1076.3686229503687
0.014563484775012436,3,891.9250803353722
